City Number,City,Country,Lat,Long,Humidity,Temperature,Max Temp,Cloudiness,Wind Speed
87,San Patricio,US,28.02,-97.52,46,88.92,91.4,20,16.11
88,Arona,ES,28.1,-16.68,78,70.99,72.0,40,10.29
89,Nishihara,JP,26.18,127.76,94,74.28,77.0,40,4.7
90,Yumen,CN,40.28,97.2,45,44.47,44.47,100,19.95
91,Norman Wells,CA,65.28,-126.83,78,15.8,15.8,20,6.93
92,Saint-François,FR,46.42,3.91,87,44.29,46.0,70,3.27
93,East London,ZA,-33.02,27.91,71,64.99,64.99,67,6.91
94,Abū Zabad,SD,12.35,29.25,42,83.19,83.19,0,7.87
95,Port Elizabeth,ZA,-33.92,25.57,87,59.0,59.0,0,9.17
96,Yangi Marg`ilon,UZ,40.43,71.72,58,53.6,53.6,0,9.17
97,Sangar,RU,63.92,127.47,96,14.34,14.34,97,5.91
98,Ilulissat,GL,69.22,-51.1,48,42.8,42.8,100,20.8
99,El'brus,RU,43.26,42.64,60,43.41,43.41,39,4.38
100,Ponta do Sol,PT,32.67,-17.1,83,68.81,73.4,75,26.4
101,Waitati,NZ,-45.75,170.57,90,49.46,50.0,99,7.0
102,Sterling,US,39.01,-77.43,52,63.5,64.99,75,6.93
103,Tiksi,RU,71.69,128.87,95,18.14,18.14,100,16.28
104,Kozhva,RU,65.11,57.05,98,29.17,29.17,100,3.96
105,Peterhead,GB,57.51,-1.8,87,43.14,44.6,75,4.7
106,Lárdos,GR,36.09,28.02,88,74.57,75.2,20,5.95
107,Umluj,SA,25.02,37.27,51,84.09,84.09,0,6.53
108,Saint George,US,37.1,-113.58,13,76.87,80.01,1,6.38
109,Kahului,US,20.89,-156.47,55,81.16,87.8,40,6.93
110,Laguna,US,38.42,-121.42,27,85.42,87.01,32,1.01
111,Husavik,IS,66.04,-17.34,75,42.8,42.8,90,17.22
112,Salamiyah,SY,35.01,37.05,38,63.16,63.16,100,4.0
113,Tello,CO,3.07,-75.14,34,93.18,93.18,69,6.55
114,Kaga,JP,36.3,136.31,81,53.6,53.6,75,4.7
115,Doka,SD,13.52,35.77,42,78.8,78.8,0,3.89
116,Luwuk,ID,-0.95,122.79,77,76.42,76.42,93,4.21
117,Mendoza,AR,-32.89,-68.83,14,89.6,89.6,0,9.17
118,Ust-Maya,RU,60.42,134.53,95,13.84,13.84,99,4.61
119,San Blas,MX,21.52,-105.27,61,82.4,82.4,90,9.17
120,Sitka,US,57.05,-135.33,66,42.8,42.8,90,11.41
121,Cherskiy,RU,68.75,161.3,92,19.89,19.89,84,7.25
122,Bluff,NZ,-46.6,168.33,95,48.0,48.0,100,3.0
123,Esperance,AU,-33.87,121.9,93,53.6,53.6,96,6.93
124,Portland,US,45.52,-122.68,68,63.57,66.2,90,9.17
125,Buraidah,SA,26.33,43.98,22,75.2,75.2,0,5.82
126,Puerto Cabezas,NI,14.04,-83.39,79,87.8,87.8,40,11.41
127,Sola,VU,-13.88,167.55,80,79.2,79.2,25,20.67
128,Datong,CN,40.09,113.29,55,43.43,43.43,0,0.94
129,Evensk,RU,61.95,159.23,95,34.63,34.63,100,2.06
130,Zhalantun,CN,48.0,122.72,76,36.07,36.07,0,3.69
